,MDC_CODE,MDC_NAME,ADRG_CODE,ADRG_NAME,ICD_CODE,ICD_DESC,AND_FLAG,GROUP_FLAG,is_icd_mdc
40,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A01.002+G01*,伤寒性脑膜炎,N,0,False
41,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A02.203+G01*,沙门菌脑膜炎,N,0,False
42,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A06.600+G07*,阿米巴脑脓肿,N,0,False
43,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.000+G01*,结核性脑膜炎,N,0,False
44,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.000x001+G05.0*,结核性脊膜炎,N,0,False
45,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.000x005+G01*,蛛网膜结核病,N,0,False
46,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.000x006+G01*,结核性脑膜粘连,N,0,False
47,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.001+G01*,结核性脑脊髓膜炎,N,0,False
48,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.100+G07*,脑膜结核瘤,N,0,False
49,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.100x001+G07*,脑脊膜结核瘤,N,0,False
50,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.800x007+G05.0*,结核性脊髓脊膜炎,N,0,False
51,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.801+G07*,脑结核瘤,N,0,False
52,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.802+G07*,结核性脑肉芽肿,N,0,False
53,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.803+G05.0*,结核性脑膜脑炎,N,0,False
54,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.804+G05.0*,结核性脑炎,N,0,False
