tcm_code,tcm_name
ZBF,风证类
ZBF000,风邪证
ZBF001,风邪偏盛证
ZBF010,风邪袭表证
ZBF011,风邪外袭证
ZBF012,风邪外袭，经气痞塞证
ZBF013,风邪侵袭证
ZBF020,风邪袭络证
ZBF030,风邪阻络证
ZBF031,卫外失固，风邪中络证
ZBF040,风邪犯肺证
ZBF050,风邪犯耳证
ZBF060,风邪热毒证
ZBFD00,风毒证
ZBFD10,风毒入里证
ZBFD20,风毒在表证
ZBFH00,风寒证
ZBFH10,风寒袭表证
ZBFH11,风寒外袭证
ZBFH20,风寒束表证
ZBFH30,风寒化热证
ZBFH40,风寒闭肺证
ZBFH41,风寒束肺证
ZBFH50,风寒犯肺证
ZBFH51,风寒袭肺证
ZBFH60,风寒犯目证
ZBFH70,风寒阻络证
ZBFH80,风寒痹阻证
ZBFH90,风寒湿阻证
ZBFH91,风寒湿痹证
ZBFH92,风寒湿邪证
ZBFM00,风湿证
ZBFM10,风湿滞表证
ZBFM20,风湿化火证
ZBFM21,风湿化热证
ZBFM30,风湿郁热证
ZBFM40,风湿蕴结证
ZBFM50,风湿蕴肤证
ZBFM60,风湿毒聚证
ZBFM70,风湿凌目证
ZBFM80,风湿热证
ZBFM81,风湿热盛证
ZBFM90,风湿热郁证
ZBFMA0,风湿热邪攻目证
ZBFP10,风盛脾虚证
ZBFROO,风热证
ZBFR01,风热偏盛证
ZBFR02,风重于热证
ZBFR03,热重于风证
ZBFR04,风热俱盛证
ZBFR10,风热壅盛证
ZBFR20,风热袭表证
ZBFR21,风热外袭证
ZBFR22,风热外袭，肺经有热证
ZBFR23,风热外侵证
ZBFR24,风热外犯证
ZBFR30,风热在表证
ZBFR40,风热化火证
ZBFR50,风热犯肺证
ZBFR60,风热闭肺证
ZBFR61,风热闭肺，心气虚衰证
ZBFR70,风热客睑证
ZBFR80,风热上犯证
ZBFR81,风热上扰证
ZBFR82,风热上攻证
ZBFR90,风热伤络证
ZBFRA0,风热阻络证
ZBFRB0,风热壅目证
ZBFRC0,风热蕴肤证
ZBFRD0,风热蕴肌证
ZBFRE0,风热血热证
ZBFRF0,风热血燥证
ZBFRG0,风热痰毒证
ZBFRH0,风热痰凝证
ZBFRM0,风热毒蕴证
ZBFRJ0,风热疫毒证
ZBFRK0,风热邪毒证
ZBFRK1,风热邪毒外侵证
ZBFRL0,风热湿毒壅盛证
ZBFRN0,风热湿邪浸渍证
ZBFRO0,风热停留证
ZBFT00,风痰证
ZBFT10,风痰闭阻证
ZBFT11,风痰闭窍证
ZBFT20,风痰入络证
ZBFT30,风痰阻络证
ZBFT40,风痰上扰证
ZBFT41,风痰上攻证
ZBFT50,风痰瘀血证
ZBFT51,风痰瘀血，痹阻脉络证
ZBFT60,风动痰阻证
ZBFT61,风动痰阻，浊邪上犯证
ZBFT70,风水泛滥证
ZBFT80,风水相搏证
ZBFU00,风火证
ZBFU10,风火蔽窍证
ZBFU20,风火上炎证
ZBFU21,风火上炎，痰热闭窍证
ZBFU22,风火上扰证
ZBFU23,风火上扰清窍证
ZBFU24,风火上攻证
ZBFU25,风火攻目证
ZBFU30,风火内动证
ZBFU40,风火毒证
ZBFU50,风火热毒证
ZBFU51,风火热毒炽盛证
ZBFX10,风盛血燥证
ZBFX20,风瘀证
ZBFZ00,风燥证
ZBFZ10,风燥伤肺证
ZBH,寒证类
ZBH000,寒证
ZBH001,寒邪偏盛证
ZBH010,虚寒证
ZBH020,腹部中寒证
ZBH030,寒实证
ZBH031,寒实阻遏证
ZBH040,寒凝证
ZBH050,寒凝胞中证
ZBH051,寒凝胞中，寒湿凝滞证
ZBH052,寒凝胞中，阳虚内寒证
ZBH060,寒痛证
ZBH070,寒邪凝固证
ZBH080,寒邪外感证
ZBH090,寒邪内阻证
ZBH100,寒邪内积证
ZBH110,寒邪直中证
ZBHA10,寒凝阳衰证
ZBHF10,大寒犯肺证
ZBHF20,外寒肺热证
ZBHF30,寒滞肠胃证
ZBHM00,寒湿证
ZBHM10,寒湿凝滞证
ZBHM11,寒湿凝聚证
ZBHM20,寒湿阻滞证
ZBHM30,寒湿瘀滞证
ZBHM40,寒湿瘀郁证
ZBHM50,寒湿蕴肤证
ZBHM60,寒湿困脾证
ZBHM70,寒湿入络证
ZBHM80,寒湿阻络证
ZBHJ10,寒滞经络证
ZBHP10,寒邪犯胃证
ZBHP11,寒邪客胃证
ZBHV10,寒凝气滞证
ZBHV20,寒凝气聚证
ZBHR10,寒热错杂证
ZBHR20,表寒里热证
ZBHR21,外寒内热证
ZBHT10,寒饮停肺证
ZBHT20,寒饮伏肺证
ZBHT30,寒饮射肺证
ZBHT40,寒水上泛证
ZBHT50,表寒里饮证
ZBHX10,寒凝血瘀证
ZBHX20,寒凝血涩证
ZBHX30,寒凝瘀结证
ZBHXA0,寒凝心脉证
ZBS,暑证类
ZBS000,暑证
ZBS010,暑厥证
ZBSF10,暑伤肺胃证
ZBSF20,暑伤肺络证
ZBSF30,暑犯肺卫证
ZBSM00,暑湿证
ZBSM10,暑湿袭表证
ZBSM20,暑湿在表证
ZBSM30,暑湿内蕴证
ZBSM31,暑湿内蕴，寒邪束表证
ZBSM40,暑湿热蕴证
ZBSM50,暑湿蕴结证
ZBSM60,暑湿交阻证
ZBSM70,暑湿困脾证
ZBSM71,暑湿伤脾证
ZBSM80,暑湿困阻中焦证
ZBSM90,暑湿困伤心脾证
ZBSMA0,暑湿弥漫三焦证
ZBSJ10,暑伤津气证
ZBSR00,暑热证
ZBSR10,暑热炽盛证
ZBSR20,暑热动风证
ZBSR21,暑动肝风证
ZBSR22,暑风证
ZBSR30,暑热内郁证
ZBSR40,暑热蒙心证
ZBSR50,暑热扰心证
ZBSR60,暑热浸淫证
ZBSX10,暑入心营证
ZBSX20,暑入心肾证
ZBSX21,暑伤心肾证
ZBSXA0,暑伤血络证
ZBSXB0,暑入血分证
ZBSY10,暑入营血证
ZBSYA0,暑入阳明证
ZBM,湿证类
ZBM000,湿证
ZBM001,湿邪偏盛证
ZBM010,湿困中焦证
ZBM020,湿郁三焦证
ZBM030,湿邪外感证
ZBM040,湿邪蕴积证
ZBM050,湿邪浸渍证
ZBMD00,湿毒证
ZBMD10,湿毒侵淫证
ZBMD20,湿毒蕴结证
ZBMD30,湿毒蕴肤证
ZBMD40,湿毒中阻证
ZBMF10,湿阻肠道证
ZBMF11,湿阻肠道，传导失司证
ZBMJ10,湿阻盘络证
ZBMJ20,湿邪阻络证
ZBMP10,湿脾胃证
ZBMP11,湿邪困脾证
ZBMP12,湿阻脾胃证
ZBMR00,湿热证
ZBMR01,湿热并重证
ZBMR02,湿重于热证
ZBMR03,热重于湿证
ZBMR10,湿热内侵证
ZBMR20,湿热内蕴证
ZBMR30,湿热化燥证
ZBMR40,湿热化火证
ZBMR50,湿热冲心证
ZBMR60,湿热蒙心证
ZBMR70,湿热动血证
ZBMR80,湿热酿痰证
ZBMR81,湿热酿痰，蒙蔽心包证
ZBMR90,湿热浸淫证
ZBMR91,湿热浸淫，气血不运证
ZBMRA0,湿热伤胃证
ZBMRB0,湿热伤阴证
ZBMRC0,湿热上蒸证
ZBMRD0,湿热下注证
ZBMRD1,湿热下注，膀胱滞涩证
ZBMRD2,湿热下注，扰动精室证
ZBMRD3,湿热下注，肝胆湿热证
ZBMRE0,湿热蕴结证
ZBMRE1,湿热蕴阻证
ZBMRF0,湿热蕴蒸证
ZBMRF1,湿热薰蒸证
ZBMRG0,湿热蕴毒证
ZBMRG0,湿热蕴伏证
ZBMRM0,湿热蕴肠证
ZBMRJ0,湿热壅盛证
ZBMRK0,湿热壅结证
ZBMRK1,湿热壅滞证
ZBMRK2,湿热壅阻证
ZBMRL0,湿热瘀阻证
ZBMRL1,湿热瘀滞证
ZBMRL2,湿热血瘀证
ZBMRN0,湿热中阻证
ZBMRO0,湿热阻络证
ZBMRP0,湿热火毒蕴结证
ZBMRP1,湿热火毒蕴盛证
ZBMRV0,湿热毒盛证
ZBMRV1,湿热毒聚证
ZBMRV2,湿热毒蕴证
ZBMRV3,湿热毒结证
ZBMRR0,湿热疫毒证
ZBMRS0,中焦湿热证
ZBMRT0,下焦湿热证
ZBMRU0,湿郁化热证
ZBMRW0,湿邪热毒证
ZBMT10,湿浊内蕴证
ZBMT20,湿浊壅滞证
ZBMT30,湿浊阻滞证
ZBMT40,湿浊冲心证
ZBMT50,湿浊蒙上证
ZBMT51,湿浊蒙上，泌别失职证
ZBMT60,湿浊上泛证
ZBMT61,湿浊上泛，脾蒌湿困证
ZBMT62,湿浊上泛，湿热蕴蒸证
ZBMT70,湿浊下注证
ZBMT80,湿浊中阻证
ZBMT90,湿浊内闭证
ZBMT91,湿浊壅闭证
ZBMU10,湿火炽盛证
ZBMU20,湿郁化火证
ZBMW10,湿郁卫气证
ZBZ,燥证类
ZBZ010,燥结证
ZBZ020,燥干清窍证
ZBZF10,凉燥袭肺证
ZBZF20,燥邪伤肺证
ZBZV10,燥气化火证
ZBZR10,燥热外犯证
ZBZR20,燥热伤津证
ZBZR30,燥热伤肺证
ZBZY10,燥伤真阴证
ZBZY20,燥邪伤阴证
ZBU,火证类
ZBU010,火邪郁结证
ZBUD00,火毒证
ZBUD10,火毒炽盛证
ZBUD11,火毒炽盛，热入营血证
ZBUD12,火毒炽盛，气血凝结证
ZBUD20,火毒壅盛证
ZBUD30,火毒蕴结证
ZBUD31,火毒困结证
ZBUD32,火毒郁结证
ZBUD33,火毒凝结证
ZBUD40,火毒内陷证
ZBUD50,火毒内攻证
ZBUD51,火毒传心证
ZBUD52,火毒传肝证
ZBUD53,火毒传脾证
ZBUD54,火毒传肺证
ZBUD55,火毒传肾证
ZBUD60,火毒入络证
ZBUD61,火毒窜络证
ZBUD70,火毒入营证
ZBUD80,火毒迫血证
ZBUD90,火毒上攻证
ZBUD91,火毒攻目证
ZBUDA0,火毒伤阴证
ZBUDA1,火毒伤津证
ZBUDB0,火毒外泄证
ZBUDC0,胎火蕴毒证
ZBUJ10,虚火伤络证
ZYYU50,虚火灼络证
ZBUR10,火热炽盛证
ZBUR20,火热伤阴证
ZBUR21,火热伤津证
ZBUR30,火热扰心证
ZBUR40,火热邪毒壅盛证
ZBUY10,火盛伤阴证
ZBUY20,郁火伤阴证
ZBR,热证类
ZBR000,热证
ZBR001,热邪偏盛证
ZBR010,热盛酿脓证
ZBR020,热盛肉腐证
ZBR030,热炽腑实证
ZBR040,腑实热结证
ZBR050,热入胞宫证
ZBR051,热入胞宫，气血两燔证
ZBR060,疹出热退证
ZBR070,热郁胸膈证
ZBR080,热郁成痈证
ZBR090,热灼胸膈证
ZBR100,里热炽盛证
ZBR110,余热未清证
ZBR120,热未尽证
ZBR121,余热未尽，肺胃阴伤证
ZBR130,下焦热盛证
ZBR140,热泪证
ZBR150,实热证
ZBR160,虚热证
ZBR170,热闭证
ZBR171,阳热内闭证
ZBR180,热盛动风证
ZBR181,热极生风证
ZBR190,热邪内郁证
ZBR200,热结血室证
ZBR210,邪热炽盛证
ZBR220,邪热留恋证
ZBR230,邪热郁蒸证
ZBR240,邪热壅结证
ZBR250,邪热内扰证
ZBR251,邪热内陷证
ZBR252,邪热内闭证
ZBR260,邪热传里证
ZBR261,邪热传里，肺胃热盛证
ZBR270,邪热未清证
ZBR271,邪热未清，阴液亏损证
ZBR280,邪郁化热证
ZBRD00,热毒证
ZBRD01,邪毒热证
ZBRD10,热毒炽盛证
ZBRD11,热毒炽盛，邪入营血证
ZBRD12,热毒炽盛，热传心包证
ZBRD20,热毒壅盛证
ZBRD30,热毒壅结证
ZBRD31,热毒壅滞证
ZBRD40,热毒蕴结证
ZBRD50,热毒蕴肤证
ZBRD60,热毒凝结证
ZBRD70,热毒内蕴证
ZBRD80,热毒内陷证
ZBRD81,热毒陷营证
ZBRD90,热毒内攻证
ZBRD91,热毒传心证
ZBRD92,热毒传肝证
ZBRD93,热毒传脾证
ZBRD94,热毒传肺证
ZBRD95,热毒传肾证
ZBRDA0,热毒入络证
ZBRDB0,热毒入营证
ZBRDC0,热毒上攻证
ZBRDC1,热毒攻喉证
