specificationId,specificationCode,catalogcode,catalogname1,catalogname2,catalogname3,commonnamecode,commonname,matrialcode,matrial,characteristiccode,characteristic,separateCharges,paymentType,paymentStandard,isusing,specificationType
eae8afbb-94fa-11e9-80c2-0242c0a80002,C01010100101001,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,001,全覆膜/Y型,0,,0,1,
eaee02f8-94fa-11e9-80c2-0242c0a80002,C01010100101002,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,002,全覆膜/直筒,0,,0,1,
eafbd7f7-94fa-11e9-80c2-0242c0a80002,C01010100101003,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,003,全覆膜/J型,0,,0,1,
eb0698fa-94fa-11e9-80c2-0242c0a80002,C01010100101004,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,004,半覆膜/Y型,0,,0,1,
eb0a70ef-94fa-11e9-80c2-0242c0a80002,C01010100101005,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,005,半覆膜/直筒,0,,0,1,
eb0e04ce-94fa-11e9-80c2-0242c0a80002,C01010100101006,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,006,半覆膜/J型,0,,0,1,
eb107be5-94fa-11e9-80c2-0242c0a80002,C01010100101007,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,007,非覆膜/Y型,0,,0,1,
eb15b9ce-94fa-11e9-80c2-0242c0a80002,C01010100101008,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,008,非覆膜/直筒,0,,0,1,
eb1d8e24-94fa-11e9-80c2-0242c0a80002,C01010100101009,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,01,镍钛合金,009,非覆膜/J型,0,,0,1,
eb222407-94fa-11e9-80c2-0242c0a80002,C01010100102001,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,001,全覆膜/Y型,0,,0,1,
eb250a4a-94fa-11e9-80c2-0242c0a80002,C01010100102002,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,002,全覆膜/直筒,0,,0,1,
eb26eb64-94fa-11e9-80c2-0242c0a80002,C01010100102003,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,003,全覆膜/J型,0,,0,1,
eb2b6e67-94fa-11e9-80c2-0242c0a80002,C01010100102004,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,004,半覆膜/Y型,0,,0,1,
eb2d74a3-94fa-11e9-80c2-0242c0a80002,C01010100102005,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,005,半覆膜/直筒,0,,0,1,
eb2fc836-94fa-11e9-80c2-0242c0a80002,C01010100102006,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,006,半覆膜/J型,0,,0,1,
eb342620-94fa-11e9-80c2-0242c0a80002,C01010100102007,C010101,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,001,支架,02,不锈钢,007,非覆膜/Y型,0,,0,1,
